	input	output	language
0	"INFORME No. 78/08
PETICIÓN 785-05
ADMISIBILIDAD
RAFAEL ARTURO PACHECO TERUEL Y OTROS
(MUERTE POR INCENDIO EN EL CENTRO PENAL DE SAN PEDRO SULA)
HONDURAS
17 de octubre de 2008"	17 Oct, 2008	es
1	"CORTE INTERAMERICANA DE DERECHOS HUMANOS

CASO DE LOS PUEBLOS INDÍGENAS KUNA DE MADUNGANDÍ Y EMBERÁ DE BAYANO Y
SUS MIEMBROS VS. PANAMÁ

SENTENCIA DE 14 DE OCTUBRE DE 2014
(Excepciones Preliminares, Fondo, Reparaciones y Costas)"	14 Oct, 2014	es
2	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 17 DE NOVIEMBRE DE 2021
CASO ROCHE AZAÑA Y OTROS VS. NICARAGUA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA

VISTO:"	17 Nov, 2021	es
3	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS*
DE 4 DE JULIO DE 2006
MEDIDAS PROVISIONALES Y
SOLICITUD DE AMPLIACIÓN DE MEDIDAS PROVISIONALES
RESPECTO DE LA REPÚBLICA FEDERATIVA DEL BRASIL
CASO DE LOS NIÑOS Y ADOLESCENTES PRIVADOS DE LIBERTAD"	04 Jul, 2006	es
4	"Corte Interamericana de Derechos Humanos
Caso Caesar Vs. Trinidad y Tobago
Resolución del 21 de Noviembre de 2007
Supervisión de Cumplimiento de Sentencia

VISTOS:
1."	21 Nov, 2007	es
5	"RESOLUCIÓN DE LA PRESIDENTA DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 30 DE JUNIO DE 2020
CASO MOTA ABARULLO Y OTROS VS. VENEZUELA
VISTO:
1.
El escrito de sometimiento del caso y el Informe de Fondo No. 118/18 de la Comisión"	30 Jun, 2020	es
6	"RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 10 DE MARZO DE 2010
CASO IBSEN CÁRDENAS E IBSEN PEÑA Vs. BOLIVIA
VISTOS:
1.
El escrito de demanda presentado por la Comisión Interamericana de Derechos"	10 Mar, 2010	es
7	"RESOLUCIÓN DEL PRESIDENTE EN EJERCICIO DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 2 DE MAYO DE 2014
SOLICITUD DE MEDIDAS PROVISIONALES PRESENTADA POR
LA COMISIÓN INTERAMERICANA DE DERECHOS HUMANOS
RESPECTO DE COLOMBIA
ASUNTO DANILO RUEDA"	02 May, 2014	es
8	"RESOLUCIÓN DEL PRESIDENTE
DE LA CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 9 DE JUNIO DE 2014
FONDO DE ASISTENCIA LEGAL DE VÍCTIMAS
CASO COMUNIDAD CAMPESINA DE SANTA BÁRBARA VS. PERÚ
VISTO:
1."	09 Jun, 2014	es
9	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO ROSADIO VILLAVICENCIO VS. PERÚ
SENTENCIA DE 14 DE OCTUBRE DE 2019
(Excepciones Preliminares, Fondo, Reparaciones y Costas)

En el caso Rosadio Villavicencio,
"	14 Oct, 2019	es
10	"21 de noviembre de 2014
REF.:

Caso No. 11.438
Herrera Espinoza y otros
Ecuador
"	21 Nov, 2014	es
11	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO LÓPEZ Y OTROS VS. ARGENTINA
SENTENCIA DE 25 DE NOVIEMBRE DE 2019
(Excepciones Preliminares, Fondo, Reparaciones y Costas)

En el caso López y otros,
la Corte Interamericana de Derechos Humanos (en adelante “la Corte Interamericana”, “la"	25 Nov, 2019	es
12	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS*
21 DE JUNIO DE 2021
CASO ACEVEDO BUENDÍA Y OTROS
(“CESANTES Y JUBILADOS DE LA CONTRALORÍA”) VS. PERÚ
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
"	21 Jun, 2021	es
13	"INFORME No. 77/081
PETICIÓN 1094-03
ADMISIBILIDAD
JOSÉ AGAPITO RUANO TORRES
EL SALVADOR
17 de octubre de 2008
I."	17 Oct, 2008	es
14	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS

DE 23 DE JUNIO DE 2015

REINTEGRO AL FONDO DE ASISTENCIA LEGAL DE VÍCTIMAS
CASO ROCHAC HERNÁNDEZ Y OTROS VS. EL SALVADOR"	23 Jun, 2015	es
15	"CORTE INTERAMERICANA DE DERECHOS HUMANOS

CASO TRABAJADORES CESADOS DE PETROPERÚ Y OTROS VS. PERÚ
SENTENCIA DE 23 DE NOVIEMBRE DE 2017
(Excepciones Preliminares, Fondo, Reparaciones y Costas)

En el Caso Trabajadores Cesados de Petroperú, del Ministerio de Educación, del Ministerio"	23 Nov, 2017	es
16	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS1
DE

9 DE FEBRERO DE 2006

MEDIDAS PROVISIONALES"	09 Feb, 2006	es
17	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 30 DE SEPTIEMBRE DE 1999
MEDIDAS PROVISIONALES ADOPTADAS POR LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
RESPECTO DE LA REPÚBLICA DE GUATEMALA
CASO CARPIO NICOLLE"	30 Sep, 1999	es
18	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 14 DE MAYO DE 2019
CASO MUNÁRRIZ ESCOBAR Y OTROS VS. PERÚ
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	14 May, 2019	es
19	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS ∗
DE 4 DE SEPTIEMBRE DE 2012
CASO DE LA MASACRE DE LAS DOS ERRES VS. GUATEMALA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA

VISTO:"	04 Sep, 2012	es
20	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 20 DE NOVIEMBRE DE 2015

CASO FLEURY Y OTROS VS. HAITÍ
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
"	20 Nov, 2015	es
21	"18 de octubre de 2018
REF.:

Caso Nº 12.709
Juan Carlos Flores Bedregal y familia
Bolivia
"	18 Oct, 2018	es
22	"INFORME No 54/04
PETICIÓN 559-2002
NELSON CARVAJAL CARVAJAL
ADMISIBILIDAD
COLOMBIA
13 de octubre de 2004
I."	13 Oct, 2004	es
23	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 22 DE FEBRERO DE 2011
CASO GARIBALDI VS. BRASIL
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	22 Feb, 2011	es
24	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 14 DE JUNIO DE 2005
MEDIDAS PROVISIONALES
RESPECTO DEL ESTADO DE GUATEMALA
CASO BLAKE
"	14 Jun, 2005	es
25	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS 
DE 1 DE JULIO DE 2011
MEDIDAS PROVISIONALES
RESPECTO DE LA REPÚBLICA DEL PERÚ
CASO WONG HO WING
"	01 Jul, 2011	es
26	"INFORME No. 75/15
CASO 12.923
FONDO
ROCÍO SAN MIGUEL SOSA Y OTRAS
VENEZUELA
28 DE OCTUBRE DE 2015
I."	28 Oct, 2015	es
27	"5
INFORME No. 173/10
CASO 11.618
OSCAR ALBERTO MOHAMED
FONDO
ARGENTINA
2 de noviembre de 2010"	02 Nov, 2010	es
28	"CORTE INTERAMERICANA DE DERECHOS HUMANOS

CASO CARVAJAL CARVAJAL Y OTROS VS. COLOMBIA

SENTENCIA DE 13 DE MARZO DE 2018
(Fondo, Reparaciones y Costas)
"	13 Mar, 2018	es
29	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO LÓPEZ LONE Y OTROS VS. HONDURAS
SENTENCIA DE 2 DE SEPTIEMBRE DE 2016
(Interpretación de la Sentencia de Excepción Preliminar,
Fondo, Reparaciones y Costas)

En el caso López Lone y otros,"	02 Sep, 2016	es
30	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO GONZALES LLUY Y OTROS VS. ECUADOR*
SENTENCIA DE 1 DE SEPTIEMBRE DE 2015
(Excepciones Preliminares, Fondo, Reparaciones y Costas)

En el caso Gonzales Lluy y otros,
la Corte Interamericana de Derechos Humanos (en adelante “la Corte Interamericana”, “la"	01 Sep, 2015	es
31	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS 
DE 22 DE NOVIEMBRE DE 2016
CASO ARGÜELLES Y OTROS VS. ARGENTINA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	22 Nov, 2016	es
32	"Corte Interamericana de Derechos Humanos
Caso Ivcher Bronstein Vs. Perú
Sentencia de 4 de septiembre de 2001
(Interpretación de la Sentencia de Fondo)

En el caso Ivcher Bronstein,
la Corte Interamericana de Derechos Humanos (en adelante “la Corte” o “la Corte"	04 Sep, 2001	es
33	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
10 DE JULIO DE 2007
CASO BÁMACA VELÁSQUEZ
VS. GUATEMALA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIAS
"	10 Jul, 2007	es
34	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS•
DE 29 DE JUNIO DE 2005

LA

MEDIDAS PROVISIONALES SOLICITADAS POR"	29 Jun, 2005	es
35	"INFORME No. 103/13
CASO 12.816
FONDO
ADAN GUILLERMO LOPEZ LONE Y OTROS
HONDURAS
5 de noviembre de 2013
"	05 Nov, 2013	es
36	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS *
DE 1 DE SEPTIEMBRE DE 2021
CASO BAENA RICARDO Y OTROS VS. PANAMÁ
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	01 Sep, 2021	es
37	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS*
DE 1 DE JULIO DE 2011
CASO CASTILLO PETRUZZI Y OTROS VS. PERÚ
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA

VISTO:"	01 Jul, 2011	es
38	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 25 DE SEPTIEMBRE DE 1999

MEDIDAS PROVISIONALES ORDENADAS POR LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
RESPECTO DE LA REPÚBLICA DE TRINIDAD Y TOBAGO"	25 Sep, 1999	es
39	"INFORME No. 148/19
CASO 12.971
INFORME DE FONDO
RONALD MOYA CHACÓN Y FREDDY PARRALES CHAVES
COSTA RICA
28 DE SEPTIEMBRE DE 2019
I."	28 Sep, 2019	es
40	"RESOLUCIÓN DE LA
CORTE INTERMERICANA DE DERECHOS HUMANOS ∗
5 DE JULIO DE 2011
MEDIDAS PROVISIONALES
RESPECTO DE VENEZUELA
CASO ELOISA BARRIOS Y OTROS
"	05 Jul, 2011	es
41	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS*
DE 12 DE MARZO DE 2020
CASO CANALES HUAPAYA Y OTROS VS. PERÚ
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	12 Mar, 2020	es
42	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO DE LA “MASACRE DE MAPIRIPÁN”
VS. COLOMBIA
SENTENCIA DE 15 SEPTIEMBRE DE 2005

En el caso de la “Masacre de Mapiripán”,
la Corte Interamericana de Derechos Humanos (en adelante “la Corte"	15 Sep, 2005	es
43	"RESOLUCIÓN
DE LA CORTE INTERAMERICANA DE DERECHOS HUMANOS ∗
DE 14 DE OCTUBRE DE 2019
SOLICITUD DE MEDIDAS PROVISIONALES
Y SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
CASO CESTI HURTADO VS. PERÚ
VISTOS:"	14 Oct, 2019	es
44	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 27 DE FEBRERO DE 2012
CASO VERA VERA Y OTRA VS. ECUADOR
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	27 Feb, 2012	es
45	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS *
DE 12 DE MARZO DE 2020
CASO MANUEL CEPEDA VARGAS VS. COLOMBIA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	12 Mar, 2020	es
46	"16 de marzo de 2016
REF.:

Caso No. 12.728
Pueblo Indígena Xucuru y sus miembros
Brasil
"	16 Mar, 2016	es
47	"RESOLUCIÓN DE LA PRESIDENTA DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 10 DE FEBRERO DE 2020
CASO ACOSTA MARTÍNEZ VS. ARGENTINA
VISTO:
1.
El escrito de sometimiento del caso y el Informe de Fondo de la Comisión"	10 Feb, 2020	es
48	"Corte Interamericana de Derechos Humanos
Caso El Amparo Vs. Venezuela
Sentencia de 14 de septiembre de 1996
(Reparaciones y Costas)

En el caso El Amparo,
la Corte Interamericana de Derechos Humanos, integrada por los siguientes jueces:"	14 Sep, 1996	es
49	"Resolución de la Presidenta de la
Corte Interamericana de Derechos Humanos
de 10 de junio de 2008
Medidas Provisionales
respecto del Brasil
Asunto de los niños y adolescentes privados de libertad
en el “Complexo do Tatuapé” de la Fundação Casa"	10 Jun, 2008	es
50	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 5 DE FEBRERO DE 1997
MEDIDAS PROVISIONALES SOLICITADAS POR LA
COMISIÓN INTERAMERICANA DE DERECHOS HUMANOS
RESPECTO DE LA REPÚBLICA DE COLOMBIA
CASO GIRALDO CARDONA"	05 Feb, 1997	es
51	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 27 DE NOVIEMBRE DE 1998
MEDIDAS PROVISIONALES ADOPTADAS POR LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
RESPECTO DE LA REPÚBLICA DE GUATEMALA
CASO CARPIO NICOLLE"	27 Nov, 1998	es
52	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS ∗
DE 23 DE JUNIO DE 2015
CASO SALVADOR CHIRIBOGA VS. ECUADOR
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA

VISTO:"	23 Jun, 2015	es
53	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS ∗
DE 14 DE MAYO DE 2019
CASO POBLETE VILCHES Y OTROS VS. CHILE
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA

VISTO:"	14 May, 2019	es
54	"INFORME No. 14/19
CASO 12.302
INFORME DE FONDO
HERMANOS CASIERRA Y FAMILIA
ECUADOR
12 de febrero de 2019
I."	12 Feb, 2019	es
55	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 14 DE MAYO DE 2019
CASO GOIBURÚ Y OTROS VS. PARAGUAY
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	14 May, 2019	es
56	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS*
DE 12 DE MARZO DE 2020
CASO ROSENDO CANTÚ Y OTRA VS. MÉXICO
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	12 Mar, 2020	es
57	"6 de junio de 2021
REF.:

Caso No. 13.193
Thomas Scot Cochran
Costa Rica
"	06 Jun, 2021	es
58	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS*
DE 5 DE SEPTIEMBRE DE 2001
MEDIDAS PROVISIONALES ORDENADAS POR LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
RESPECTO DE LA REPÚBLICA DE GUATEMALA
CASO COLOTENANGO"	05 Sep, 2001	es
59	"Resolución de la
Corte Interamericana de Derechos Humanos
1 de julio de 2009
Caso Tibi Vs. Ecuador
Supervisión de Cumplimiento de Sentencia

Visto:"	01 Jul, 2009	es
60	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 21 DE SEPTIEMBRE DE 2005
CASO MARITZA URRUTIA VS. GUATEMALA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA

VISTOS:"	21 Sep, 2005	es
61	"RESOLUCIÓN DE LA

CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 10 DE OCTUBRE DE 2011**
CASO DE LAS NIÑAS YEAN Y BOSICO VS. REPÚBLICA DOMINICANA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
"	10 Oct, 2011	es
62	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
22 DE NOVIEMBRE DE 2019
CASO DÍAZ PEÑA Y CASO UZCÁTEGUI Y OTROS VS. VENEZUELA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIAS
VISTO:
1."	22 Nov, 2019	es
63	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS *
DE 24 DE JUNIO DE 2020
MEDIDAS PROVISIONALES RESPECTO DE GUATEMALA
CASO MACK CHANG Y OTROS
VISTO:
1."	24 Jun, 2020	es
64	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
TICONA ESTRADA Y OTROS VS. BOLIVIA
SENTENCIA DE 27 DE NOVIEMBRE DE 2008
(FONDO, REPARACIONES Y COSTAS)

En el caso Ticona Estrada y otros,
la Corte Interamericana de Derechos Humanos (en adelante “la Corte"	27 Nov, 2008	es
65	"INFORME No. 16/09
PETICIÓN 12.302
ADMISIBILIDAD
LUIS EDUARDO Y ANDRÉS ALEJANDRO CASIERRA QUIÑONEZ
ECUADOR
19 de marzo de 2009
I."	19 Mar, 2009	es
66	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS*
DE 10 DE FEBRERO DE 2017
CASO ATALA RIFFO Y NIÑAS VS. CHILE
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTOS:
1."	10 Feb, 2017	es
67	" 

RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
3 DE MARZO DE 2011
CASO PUEBLO INDÍGENA KICHWA DE SARAYAKU vs. ECUADOR
"	03 Mar, 2011	es
68	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO NADEGE DORZEMA Y OTROS VS. REPÚBLICA DOMINICANA
SENTENCIA DE 24 DE OCTUBRE DE 2012
(Fondo, Reparaciones y Costas)

En el caso Nadege Dorzema y otros,
la Corte Interamericana de Derechos Humanos (en adelante “la Corte Interamericana” o “la"	24 Oct, 2012	es
69	"24 de mayo de 2020
REF.:

Caso Nº 12.889
Diana Maidanik y otros
Uruguay
"	24 May, 2020	es
70	"RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 14 DE SEPTIEMBRE DE 2016
CASO TRABAJADORES CESADOS DE PETROPERÚ, DEL MINISTERIO DE EDUCACIÓN,
DEL MINISTERIO DE ECONOMÍA Y FINANZAS Y DE LA EMPRESA NACIONAL DE
PUERTOS VS. PERÚ
VISTO:"	14 Sep, 2016	es
71	"INFORME N° 12/03
PETICIÓN 0322/2001
ADMISIBILIDAD
COMUNIDAD INDÍGENA SAWHOYAMAXA DEL PUEBLO ENXET
PARAGUAY
20 de febrero de 2003
I."	20 Feb, 2003	es
72	"Resolución de la
Corte Interamericana de Derechos Humanos
2 de febrero de 2010
Medidas Provisionales
Respecto de El Salvador
Asunto Adrián Meléndez Quijano y Otros
Visto:"	02 Feb, 2010	es
73	"Corte Interamericana de Derechos Humanos
Caso Loayza Tamayo Vs. Perú
Resolución del 17 de noviembre de 1999
(Cumplimiento de Sentencia)

VISTOS:
1."	17 Nov, 1999	es
74	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
•
DE 22 DE SEPTIEMBRE DE 2006
MEDIDAS PROVISIONALES RESPECTO DEL PERÚ
CASO DE LOS HERMANOS GÓMEZ PAQUIYAURI
VISTO:"	22 Sep, 2006	es
75	"RESOLUCIÓN DEL PRESIDENTE
DE LA CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 28 DE JULIO DE 2006
SOLICITUD DE MEDIDAS PROVISIONALES PRESENTADA POR
LA COMISIÓN INTERAMERICANA DE DERECHOS HUMANOS
RESPECTO DEL BRASIL
CASO DE LAS PERSONAS PRIVADAS DE LIBERTAD"	28 Jul, 2006	es
76	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS



DE 5 DE FEBRERO DE 2013
CASO BAENA RICARDO Y OTROS VS. PANAMÁ"	05 Feb, 2013	es
77	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS 
DE 26 DE MARZO DE 2021
CASO PAVEZ PAVEZ VS. CHILE
VISTO:
1.
El escrito de sometimiento del caso y el Informe de Fondo de la Comisión Interamericana"	26 Mar, 2021	es
78	"Corte Interamericana de Derechos Humanos

Caso de la Masacre de La Rochela Vs. Colombia

Sentencia de 11 de Mayo de 2007
(Fondo, Reparaciones y Costas)
"	11 May, 2007	es
79	"INFORME Nº 24/06 1
PETICIÓN 10.720
ADMISIBILIDAD
MASACRE EL MOZOTE
EL SALVADOR
2 de marzo de 2006
I."	02 Mar, 2006	es
80	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE

27 DE NOVIEMBRE DE 2003

CASO DE LA “PANEL BLANCA”"	27 Nov, 2003	es
81	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 30 DE OCTUBRE DE 2008
CASO VARGAS ARECO VS. PARAGUAY
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTOS:
1."	30 Oct, 2008	es
82	"Resolución de la
Corte Interamericana de Derechos Humanos
de 30 de noviembre de 2007
Caso Valle Jaramillo y otros vs. Colombia
VISTO:
1.
El escrito de demanda presentado por la Comisión Interamericana de Derechos"	30 Nov, 2007	es
83	"INFORME No. 107/18
CASO 13.039
FONDO
MARTINA REBECA VERA ROJAS
CHILE1
5 DE OCTUBRE DE 2018
"	05 Oct, 2018	es
84	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 6 DE JULIO DE 2011

MEDIDAS PROVISIONALES
RESPECTO DE VENEZUELA
"	06 Jul, 2011	es
85	"Corte Interamericana de Derechos Humanos

Caso Zambrano Vélez y otros Vs. Ecuador

Sentencia de 4 de julio de 2007
(Fondo, Reparaciones y Costas)
"	04 Jul, 2007	es
86	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE

3 DE JULIO DE 2007

MEDIDAS PROVISIONALES"	03 Jul, 2007	es
87	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS



DE 14 DE MAYO DE 2013
CASO CONTRERAS Y OTROS VS. EL SALVADOR"	14 May, 2013	es
88	"Corte Interamericana de Derechos Humanos

Caso Loayza Tamayo Vs. Perú
Resolución de la Corte 8 de marzo de 1998
(Interpretación de la Sentencia de Fondo)

En el caso Loayza Tamayo,"	08 Mar, 1998	es
89	"INFORME No. 175/20
CASO 12.861
INFORME DE FONDO
2 de julio de 2020
Luis Fernando Guevara Díaz
COSTA RICA
I."	02 Jul, 2020	es
90	"16 de julio de 2019
REF.:

Caso Nº 12.954
Jineth Bedoya Lima y Otra
Colombia
"	16 Jul, 2019	es
91	"INFORME N° 88/01
CASO 12.147
WINSTON CAESAR
TRINIDAD Y TOBAGO
10 de octubre de 2001
I.
"	10 Oct, 2001	es
92	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS

DE 18 DE JUNIO DE 2012

CASO DE LA MASACRE DE SANTO DOMINGO VS. COLOMBIA
"	18 Jun, 2012	es
93	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS *
DE 5 DE FEBRERO DE 2018
CASO ANDRADE SALMÓN VS. BOLIVIA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	05 Feb, 2018	es
94	"INFORME Nº 130/17
CASO Nº 13.044
FONDO
GUSTAVO FRANCISCO PETRO URREGO
COLOMBIA1
25 DE OCTUBRE DE 2017
"	25 Oct, 2017	es
95	"Corte Interamericana de Derechos Humanos
Caso Ivcher Bronstein Vs. Perú
Sentencia de 24 de septiembre de 1999
(Competencia)

En el caso Ivcher Bronstein,
la Corte Interamericana de Derechos Humanos (en adelante “la Corte”, “la Corte"	24 Sep, 1999	es
96	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 13 DE FEBRERO DE 2013
MEDIDAS PROVISIONALES RESPECTO DE LA REPÚBLICA ARGENTINA
ASUNTO MILLACURA LLAIPÉN Y OTROS

VISTO:"	13 Feb, 2013	es
97	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 3 DE FEBRERO DE 2001
MEDIDAS PROVISIONALES
CASO LOAYZA TAMAYO
VISTOS:
1."	03 Feb, 2001	es
98	"INFORME Nº 20/98
CASO 11.762
BARUCH IVCHER BRONSTEIN
PERU
3 de marzo de 1998
I.
"	03 Mar, 1998	es
99	"RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DEL 12 DE MAYO DE 1998
MEDIDAS URGENTES ADOPTADAS POR EL PRESIDENTE DE
LA CORTE INTERAMERICANA DE DERECHOS HUMANOS EN EL
CASO ÁLVAREZ Y OTROS
VISTOS:"	12 May, 1998	es
